                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.42699,                0.48426,                 0.8563,                0.99309,                0.99471,                  0.995,                0.92477,                0.38755,                0.26711,                0.82354,             0.00018845,             0.00018845,             0.00018845
                     79,                0.42318,                0.47185,                0.85571,                0.99086,                0.99407,                0.99495,                0.92497,                0.38498,                0.26694,                0.82272,             0.00018825,             0.00018825,             0.00018825
                     80,                0.42622,                 0.4732,                0.86131,                0.99397,                0.99618,                0.99491,                0.92815,                0.38495,                0.26368,                0.82279,             0.00018805,             0.00018805,             0.00018805
                     81,                0.43191,                0.47871,                0.86174,                0.99522,                0.99473,                0.99496,                0.92484,                0.38958,                0.26557,                0.82346,             0.00018784,             0.00018784,             0.00018784
                     82,                0.42514,                0.46113,                0.85693,                0.99324,                0.99506,                0.99491,                0.92584,                0.38503,                0.26615,                0.82312,             0.00018764,             0.00018764,             0.00018764
                     83,                0.42307,                0.48162,                0.85759,                0.99424,                0.99752,                  0.995,                0.92867,                0.37908,                0.25942,                0.82316,             0.00018744,             0.00018744,             0.00018744
                     84,                0.41476,                0.46601,                0.85559,                0.99298,                0.99521,                  0.995,                 0.9256,                0.38532,                0.26069,                0.82314,             0.00018724,             0.00018724,             0.00018724
                     85,                 0.4209,                0.46652,                 0.8581,                 0.9914,                0.99678,                0.99487,                0.92826,                0.39021,                0.26763,                0.82191,             0.00018704,             0.00018704,             0.00018704
                     86,                0.42249,                0.46374,                0.86139,                0.99351,                0.99419,                0.99496,                0.92528,                0.39455,                0.26691,                0.82672,             0.00018683,             0.00018683,             0.00018683
                     87,                0.42432,                0.46787,                0.85988,                0.99209,                0.99699,                  0.995,                 0.9225,                0.39477,                0.26586,                 0.8282,             0.00018663,             0.00018663,             0.00018663
                     88,                0.41772,                0.45897,                0.85009,                0.99454,                0.99582,                0.99489,                0.92638,                0.38529,                0.26452,                0.82193,             0.00018643,             0.00018643,             0.00018643
                     89,                0.41715,                0.45123,                0.85234,                0.99444,                0.99506,                  0.995,                0.92619,                0.38163,                0.25449,                0.82174,             0.00018623,             0.00018623,             0.00018623
                     90,                0.41901,                0.45425,                0.85851,                0.99365,                0.99727,                  0.995,                 0.9299,                0.38584,                0.26033,                0.82317,             0.00018603,             0.00018603,             0.00018603
                     91,                0.40985,                0.45103,                 0.8497,                0.99272,                0.99387,                  0.995,                0.92876,                0.38989,                0.26042,                0.82453,             0.00018582,             0.00018582,             0.00018582
                     92,                0.41243,                0.44933,                0.85917,                0.98933,                0.99838,                  0.995,                0.93221,                0.37651,                0.25375,                0.81868,             0.00018562,             0.00018562,             0.00018562
                     93,                0.41527,                0.45656,                0.85585,                 0.9933,                0.99746,                  0.995,                 0.9265,                0.38461,                0.25485,                  0.823,             0.00018542,             0.00018542,             0.00018542
                     94,                0.40682,                0.44423,                0.85261,                0.99399,                0.99392,                0.99496,                0.92489,                0.38568,                0.25397,                0.82044,             0.00018522,             0.00018522,             0.00018522
                     95,                0.42283,                0.46032,                0.86134,                0.99362,                0.99789,                0.99496,                 0.9285,                0.38218,                0.25513,                 0.8238,             0.00018502,             0.00018502,             0.00018502
                     96,                0.41441,                0.44577,                0.85222,                0.99479,                0.99595,                0.99496,                0.92607,                0.38748,                0.25348,                0.82372,             0.00018481,             0.00018481,             0.00018481
                     97,                0.40813,                0.44143,                0.85533,                0.99498,                0.99758,                  0.995,                 0.9308,                0.38002,                0.25211,                0.81964,             0.00018461,             0.00018461,             0.00018461
                     98,                0.40744,                0.44299,                0.85321,                0.99311,                0.99546,                  0.995,                0.92686,                0.38554,                0.25829,                0.82228,             0.00018441,             0.00018441,             0.00018441
                     99,                 0.4082,                0.44055,                 0.8503,                0.99416,                0.99795,                  0.995,                0.92906,                0.37627,                 0.2495,                0.82008,             0.00018421,             0.00018421,             0.00018421
                    100,                0.40958,                0.43941,                0.85521,                0.99427,                0.99762,                  0.995,                0.93025,                0.37718,                0.24818,                0.81911,             0.00018401,             0.00018401,             0.00018401
                    101,                0.40495,                0.43598,                0.84961,                0.99329,                0.99785,                  0.995,                0.92963,                0.38772,                0.25103,                0.82243,              0.0001838,              0.0001838,              0.0001838
